,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
114,6201,AMR CORP,200305,05/15/2003,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000030.txt
115,6201,AMR CORP,200307,07/18/2003,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000045.txt
116,6201,AMR CORP,200810,10/16/2008,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-08-000060.txt
117,6201,AMR CORP,200902,02/19/2009,10-K,https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000009.txt
118,6201,AMR CORP,200904,04/16/2009,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000016.txt
119,6201,AMR CORP,200907,07/15/2009,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000029.txt
120,6201,AMR CORP,200910,10/21/2009,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000038.txt
121,6201,AMR CORP,200911,11/06/2009,10-Q/A,https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000040.txt
122,6201,AMR CORP,201002,02/17/2010,10-K,https://www.sec.gov/Archives/edgar/data/6201/0000006201-10-000006.txt
123,6201,AMR CORP,201004,04/21/2010,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-10-000013.txt
124,6201,AMR CORP,201007,07/21/2010,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000950123-10-066894.txt
125,6201,AMR CORP,201010,10/20/2010,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000950123-10-094605.txt
126,6260,ANACOMP INC,199402,02/14/1994,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-94-000014.txt
127,6260,ANACOMP INC,199405,05/12/1994,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-94-000016.txt
128,6260,ANACOMP INC,199712,12/29/1997,10-K,https://www.sec.gov/Archives/edgar/data/6260/0000006260-97-000011.txt
129,6260,ANACOMP INC,199802,02/17/1998,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-98-000001.txt
130,6260,ANACOMP INC,199805,05/13/1998,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-98-000003.txt
131,6260,ANACOMP INC,199808,08/14/1998,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000914121-98-000672.txt
132,6260,ANACOMP INC,199812,12/29/1998,10-K405,https://www.sec.gov/Archives/edgar/data/6260/0001047469-98-045227.txt
